"Country" "Agr" "Min" "Man" "Pow" "Con" "Ser" "Fin" "SPS" "TC" "blocco"
"Belgium" 3.3 0.9 27.6 0.9 8.2 19.1 6.2 26.6 7.2 "w"
"Denmark" 9.2 0.1 21.8 0.6 8.3 14.6 6.5 32.2 7.1 "w"
"France" 10.8 0.8 27.5 0.9 8.9 16.8 6 22.6 5.7 "w"
"W. Germany" 6.7 1.3 35.8 0.9 7.3 14.4 5 22.3 6.1 "w"
"Ireland" 23.2 1 20.7 1.3 7.5 16.8 2.8 20.8 6.1 "w"
"Italy" 15.9 0.6 27.6 0.5 10 18.1 1.6 20.1 5.7 "w"
"Luxembourg" 7.7 3.1 30.8 0.8 9.2 18.5 4.6 19.2 6.2 "w"
"Netherlands" 6.3 0.1 22.5 1 9.9 18 6.8 28.5 6.8 "w"
"United Kingdom" 2.7 1.4 30.2 1.4 6.9 16.9 5.7 28.3 6.4 "w"
"Austria" 12.7 1.1 30.2 1.4 9 16.8 4.9 16.8 7 "w"
"Finland" 13 0.4 25.9 1.3 7.4 14.7 5.5 24.3 7.6 "w"
"Greece" 41.4 0.6 17.6 0.6 8.1 11.5 2.4 11 6.7 "w"
"Norway" 9 0.5 22.4 0.8 8.6 16.9 4.7 27.6 9.4 "w"
"Portugal" 27.8 0.3 24.5 0.6 8.4 13.3 2.7 16.7 5.7 "w"
"Spain" 22.9 0.8 28.5 0.7 11.5 9.7 8.5 11.8 5.5 "w"
"Sweden" 6.1 0.4 25.9 0.8 7.2 14.4 6 32.4 6.8 "w"
"Switzerland" 7.7 0.2 37.8 0.8 9.5 17.5 5.3 15.4 5.7 "n"
"Turkey" 66.8 0.7 7.9 0.1 2.8 5.2 1.1 11.9 3.2 "n"
"Bulgaria" 23.6 1.9 32.3 0.6 7.9 8 0.7 18.2 6.7 "e"
"Czechoslovakia" 16.5 2.9 35.5 1.2 8.7 9.2 0.9 17.9 7 "e"
"E. Germany" 4.2 2.9 41.2 1.3 7.6 11.2 1.2 22.1 8.4 "e"
"Hungary" 21.7 3.1 29.6 1.9 8.2 9.4 0.9 17.2 8 "e"
"Poland" 31.1 2.5 25.7 0.9 8.4 7.5 0.9 16.1 6.9 "e"
"Rumania" 34.7 2.1 30.1 0.6 8.7 5.9 1.3 11.7 5 "e"
"USSR" 23.7 1.4 25.8 0.6 9.2 6.1 0.5 23.6 9.3 "e"
"Yugoslavia" 48.7 1.5 16.8 1.1 4.9 6.4 11.3 5.3 4 "n"
